Timestamp,What grade are you in?,What school do you go to?,How many classes would you like to answer questions about?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?,What's the name of this class? (Like Algebra I or AP Spanish 4 or something),Was your seat assigned?,What's your grade in this class? (1 to 100),How many rows from the front are you?,How many rows from the teacher are you?,How many homework and studying hours do you spend on this class each week?,How often do you visit your teacher outside of class for help?
4/19/2018 11:59:23,Test,a,4 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Stats,No,93.3,4,8,1,1,AP Physics,No,91,6,8,2,2,Science Fiction,Yes,95,1,3,7,2,AP Government,No,83,2,4,1,1
4/20/2018 10:10:08,12,test,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stats,No,93,3,4,1,1,a,Yes,34,10,10,10,5
4/20/2018 10:25:10,12,Saint Francis High School,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mystery,Yes,88.75,8,5,1,3,Physics,Yes,85,1,6,2,1
4/20/2018 10:28:59,12,,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculus,No,89,6,4,3,1
4/20/2018 10:30:24,12,Saint Francis ,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Bio,Yes,94,3,4,4,3,AB Calculus ,Yes,81,6,7,2,2
4/20/2018 10:30:51,12,Saint Francis ,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,Yes,82,3,3,4,1
4/20/2018 10:36:09,12,Saint Francis High School,6 classes,,,,,,,,,,,,,,,AP Phys,No,93,2,2,3,2,Sci-Fi with Gladych,Yes,94,1,1,3,1,APCS,Yes,96,2,2,3,3,AP Stats,No,89,2,2,2,1,WorldReligion with Fullerton,No,95,2,2,1,1,Gov ,Yes,94,2,2,1,1
4/20/2018 10:36:58,12,SFHS,7 classes,,,,,,,,Band,Yes,100,1,1,2,2,AP Stats,No,90,1,1,4,1,AP Chinese,Yes,92,2,2,6,3,AP Econ,No,95,3,3,5,2,AP English,Yes,87,2,2,6,1,AP Physics,No,88,5,5,5,2,Religion,No,100,1,1,2,1
4/20/2018 10:58:06,12,Presentation ,1 class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP govt,Yes,95,3,4,2,1
4/20/2018 11:10:38,12,SF,2 classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP Calculus AB,Yes,80,1,1,4,1,Philosophy ,No,90,3,3,0,1
